Timestamp,What is your Recitation/Group Number? (E.g. B1-1... double check with your TA/instructor if you're not sure!),Anti-racist solution to address the historical context in which society is situated,Anti-racist solution for the structures/society in which these people are embedded,Anti-racist solution for the people behind the technology,Anti-racist Solution for the racist technology in our case study,How much money would you allocate to your solution for history?,How much money would you allocate to your solution for structures/society?,How much money would you allocate to your solution for the people behind the technology?,How much money would you allocate to your solution for fixing the technology itself?,"Is 100 billion is enough money to address the problem you seek to solve? If so, why? If not, how much more would you need to be successful? Also, if not, which of the 4 categories above would you allocate the majority of the extra funding to and why?"
9/24/2021 18:05:25,B1-1,"It is important for society as a whole to recognize that we can not ""change"" the fact that American Society has been historically unequal. Rather, we should make strides to ensure that racism in America and specifically the history of anti-Black racism is taught in schools. This could be in the form of federal curriculum mandates. Through education of past mistakes, we can hopefully ensure that systems of discrimination do not occur in the future.","Restructure the systems: There are a multitude of systems in our society that are so deeply rooted in this that it would possibly be more effort to fix them than it is to remove them and replace them with something new that addresses the old problems while also trying to prevent new issues. Take the prison system for example, due to financial incentives to have people in jail, corporations and certain government systems want prisoners, incentivizing the arrest of more people. This could be done by removing the involvement of private companies and removing the use of prisoners for profit so it is not seen as a waste of money to not have a full jail. There would be push back and lobbying by the corporations that profit from the prison system, but the overall effect would make a huge difference.","Hire a more diverse group of people into the teams that write and teach algorithms. Raise the incentive for people of color to join those fields so there will be more diversity. In order to fix the issue of people making racially biased decisions, the system at large must be changed. This is because people often inherit their biases from the systems that they grew up with, which often have a racist history. These biases do not just appear out of thin air, but rather they are indicicative of the historical injustices that have occured as a result of our institutions being utilized as weapons for discrimination.","With emphasis on racist algorithms, which inherited the bias from its creators or data points, we can indulge in the process of third party scrutinisation and having a diverse group of people in the team of creators. This will incorporate the perspective of the people of color and respective alterations/additions. Another solution would be to test the prototype over a diverse data set to reduce the bias before releasing it to the larger public. This would help in identifying the error in the earlier stages and give the creators a window to make the required changes. There could be changes required for the set data points used, the programming, machine learning etc. the required changes.	This argument can be extended to any product that is being released for the larger public.",15,55,15,15,"Solving systemic racism is less of a monetary issue and more of an issue surrounding the willingness of people to change their biases at the individual level. The majority of the funding went to structural racism because there would be a lot of funds needed in reworking the prison system. Thus, 100 Billion USD should be enough for the programs themselves, but it might take more in order to solve the issue of systemic racism as a whole."
9/24/2021 17:48:40,B1-2,"We can't change history but we can educate Americans on the history of racism as well as its impacts on our society and other parts of our daily lives. By educating Americans on racism and its effects, we can also avoid repeating these racist actions in the future. We also need to make sure that the history of racism is not suppressed and instead, acknowledged. We can hold workshops and discuss the history of racism, create social media accounts and websites to teach others. The big idea is to raise awareness, teach people to reflect on their actions, and to point out the importance of catching and calling yourself out when you discriminate against someone and/or act on your prejudice of someone. Even by making small changes in your circle, collectively we can make a big change.","Society and the structures which make it up are currently racially biased in a majority. To change society's view on racism as a whole you need to make changes to society which will begin to switch people's personal values, some of which have been passed down for generations. Structural racism is a large problem which is within many parts of society today, it will be necessary to change all of these inequalities, ie a police officer being raised to discriminate against black americans and then going out and arresting black americans more often even when that person may not be doing anything wrong. To change this structural racism you will need to train officers not to discriminate against someone's race and specifically arrest someone based on the crimes they have committed. Also besides fixing structures in society which contain a larger amount of racial bias we need to have schools create a curriculum to teach children about race from a young age in order to try and start a new generation of children, most of which who may keep said values for the rest of their life and in turn teaching their children, starting a new cycle on less racism. ","At a human level to address racism, increased activism must take place to allow for people to understand what racism is and how it affects those around them. By opening up conversations on race, stigma around the topic can be lifted and  conversations can flow. By taking steps to help everyone understand how race affects their day to day life  changes can be made to allow for more equity and fairness among humans. Having safe and brave spaces for people to engage in these conversations would go a long way.","Technology is bound to advance at an even quicker rate and it should be made sure that this technology isn’t allowed to support already racist power structures and people. The more people that understand the technology in their daily lives and around them, the less likely it is for systems in power to make technology racist as they run the chance of negative publicity from their consumers. We can educate people about the racial bias in the technology around by testing all software for biases and publicly publishing the results.. This would allow people to make educated decisions on what services they use, as well as have a good knowledge in  indicating the racial basis of any technological system. This should reveal any inherent basis within the technology.",15,40,25,20,"Money isn't really the biggest factor, time is. Money is a very very  important tool towards the elimination of racism however things will take time to change. The money used towards education, restructuring of services, and creation of services will take time to be implemented and especially with the pushback from people in power who have even more money, it will be a long battle. Money is important, but time is king. Based on our current plan, 100 billion was spread and used, but we don’t know how much we might actually need in the future because of time."
9/24/2021 17:57:57,B1-3,"To address the fact that racial biases and discrimination are built into american society, you have first look back to when the country was ""founded"". When the Europeans first arrived in America, the Native Americans still had this land. It was then taken from them and never given back. Then a few decades later, slave labor began to boom around the world which led to the slave trade being prevalent in America. This led to the import of Black slaves from Africa and they were immediately seen as just slaves and not even human. It is important to educate ourselves and the next generation about the history and acknowledge it so that we can end the racism that has been embedded into society.","As racism is built into our society as a whole, it is no wonder that the people who live within it are influenced by this fact. We should stand by the fact that the changes that would need to come would be involved at an early age, and treated as a serious topic. Often, we see in many school systems within our education struggling to keep up to date with both the past and present. Many could argue that most don’t take America's negative history seriously. Thus, it is a requirement that we change the education system to allow for a more serious environment about the topic of things like racism. Not just any history though, there should be a particular emphasis on the bad of our history, and it’s impacts into the modern day. If people are taught from a young age what our nation is and has been, it should only go on to further aid the fight against the cycle of racism over time. ","Self-introspection is one of the key factors to eliminate racism at a structural level. This will help us look at ourselves and examine our own biases and how they impact our lives and other people's lives.It will broaden our horizons and help us get a deeper understanding of our privileges. Additionally, the idea of polling communities for information could also allow for insights into how the systems are within the country.",Our solution is to have multiple committees review each of the data that is being learned by the machine and determine which data is reasonable to be accepted. A third-party of diverse groups will be vital to analyzing the data so that it can minimize the racial bias. The data will be passed again through multiple committees so that the bias will decrease. This is similar to the process of how a bill is passed within the US government. ,15,40,15,30,"We don’t believe 100 Billion is enough to address the problem we are trying to solve. In order to see if it actually works, we need time and time is money. We feel as if a yearly budget dedicated to change could be implemented if these concepts do well. It could range from $25 Billion to $75 Billion per year. We would allocate the majority of the money to the structural category as it takes time to change society and its structures as a whole.
"
9/24/2021 18:05:59,B1-4,"•	Although a lot of data have caused racism, in fact, it is not algorithm's fault. It is people's fault. We have lived in the world that every race can be not respected. Thus, using the old data will definitely cause racism. Any programs that are built on the history of structural racism should be abandoned and (if necessary) replaced with unbiased versions.","•	One thing that we can change is the level of education that we receive, there should not be one school that is better than another and everyone should have the right ability to go to school and not give it up due to economic issue (maybe making college/ school free). Also, not because one school prefer one race over the other and so accept that one group more and take away the right of the other group to attend this school. Everyone should be in the same level in terms of education. For college acceptance we can hide everything that might expose our identity from the university and just give them a list a number that represent each person other than our names and all other information since that can also expose our race/ other which can affect their decision of accepting or not.","•	The people most aware of racial biases tend to be those most affected by them, so including a diverse body to review potentially biased decisions would increase the chances that biases can be caught and rectified before they become seriously problematic. They do not know they are doing racist things. In this case, some feedbacks will be needed about algorithms they made by others. They can be us who use the algorithm.","•	We can come up with an algorithm to check if the proxy variables are racially biased and if it is, it would reject the data and request for a new set of data until the data is not bias. I think they did not consider that it might cause a racial bias. And they would want to gain the result that they hoped to get. Thus, when we decide to develop an algorithm, we have to think about the racial factors.",11,34,26,29,•	100 billion would not be enough since if we talk about the educational level and to provide everyone with the ability to attend college the amount of money needed could not be calculated so a majority of the money would already go on to that field and then plus the money require for the other category is already a lot so 100 billion would not be enough.
9/24/2021 18:10:23,B1-5,"Overtime in history there has been a long spanning issue of racism and for the longest time it was always just thought of as a way of life for example, Slavery has been around for a long time and it did not originally start with racism originally it would just be the social class that you were born into that you would stay in. However overtime as time progressed color of skin had more and more to do with your skin color. Once christianity made it Immoral to have slaves, people began coming up with all types of justification to the superiority of their color vs another and that being the reason why they should not be allowed to advance and must be a slave or servant. Today's society is much different over how to look at and address racism and while still embedded into society its a much more widely understood thing and much less widely accepted. A solution to helping everyone understanding history would be to spend 15 billion to 20 billion dollars on research for ",I dont think we can change racism on a society level,A solution to addressing racism on the human level  would be to educate. Many people have racial biases and opinions due to parents and gaps between society. So my solution would be to have classes to educate children and expose children to diverse people  and different cultures. This way they’re not only being taught social opinions from their parents and they would be exposed to other cultures as well.,"Addressing racism technologically would be challenging. Subconscious bias usually creeps in when developing technology that deals directly with humans. It could be the initial data fed to the machine, the bias that the developer had while coding etc. There would be several ways to prevent bias and racism through technology. We ",10,40,20,30,"No, 100 billion would not be enough because the money would have to be stretched over generations. There is no viable solution for racism that works in one year. If more funding is received then it would be allocated towards the Human category because all the other solutions depend on humans going through change first. I would allocate the majority of the funds to technology because it would have the biggest impact."
9/23/2021 11:57:23,B2-1,"We need to educate the youth more. Racism is reproduced because it is passed down onto newer generations. Therefore, the more time and resources we spend on educating the youth about the history and inequalities of structural racism, the less likely it is to be able to spread into the future. One problem that can be tackled is the lack of educational reach, for which a program providing free education can be made to counter.","We need to take racism more seriously and hold people more accountable who commit discriminatory actions. For instance, the law needs to punish authorities who seek out to arrest certain racial groups. This will set an example to others as to how we shouldn’t display racial bias. One issue could be the justice system (police or judges) decide not to enforce stricter rules; to which they could be made liable to lose their jobs.","For a simple solution, one way to change the fact that people who are making the underlying decisions are doing so in a racially biased way is to simply change the people who are making the decisions. For example we'll use Microsoft again, if an aspect of microsoft was behaving in a racially biased way; whoever made the portion that was acting in such a way could be fired and replaced; and whoever replaced the individual(s) fired would sort back through, fix the racist aspect(s) and continue improving upon them in future models. One issue with this is the act of actually firing someone. However I don’t think that would be a hard challenge to overcome; because in this case they would have made an impactful decision which could have/did harm people and no job done is better than their bad job done; if they couldn’t be easily replaced.","In order to address this issue, we need to monitor the development of AI systems. We should have organizations that have the responsibility of checking AI systems and making sure that the original developers make unbiased decisions that are inclusive of people of all backgrounds. Instead of using old data and analysing the places that crime had occurred into the algorithm, we can use AI for facial recognition to catch criminals. This can remove the bias of race and discriminiation against black people. It can also remove over-policing in the area. One issue with this could be the third-party failed to detect bias, or the data was unreliable. For that; further research/hiring could possibly fix the solution.",40,10,10,40,"Yes, 100 Billion USD is enough money to address the problem we seek to solve. This is because as college students, 100 billion is an unfathomable amount and we have no clue what that kind of money can do."
9/23/2021 11:50:02,B2-2,One way we can try to address this problem is to put a racially diverse and progressive cast of people in charge of systems that perpetuate structural racism and have them try to make reforms and laws in those systems that force it to change and become more unbiased. We need to promote diversity in the workplace and lobby against organizations that are being explicitly racist.,"To address the fact that racial biases and discrimination are built into our society at a structual level, we have to slowly unravel the racism in our community. By focusing more on our youth, communities and values such as improving the livelihoods of minority communities. We can do this by reducing the amount of arrests and improving the areas overall. When we focus on the youth, we can eliminate the roots of racism before these ideals get planted into the youth of America. If you start teaching about this stuff in the early learning stages, you can prevent this racial bias from reproducing and continuing in American society","In order to address the fact that the people who made the underlying decisions did so in a racially biased way, we should better train the police and increase the use of body cameras worn by the police. This will limit the racially biased decisions of the police officers because now there would be digital evidence if they ever do something in a racially biased way. With the evidence, they would be held accountable and would be fired.","Because modern day algorithms are based on old data from a time when racism wasn’t as talked about or as addressed as it is today, the only way to truly remove racist outputs from these programs and algorithms is to completely redo the data from the ground up. If you re-create these studies and make these algorithms based on new data, then you're implementing modern day thoughts and beliefs and can potentially eliminate this algorithmic racial bias by getting rid of the racially biased input.",10000000000,40000000000,25000000000,25000000000,"We believe that $100 Billion is not enough money to solve the issues presented above. The solutions would require a lot of work over several years and would have to reverse centuries of discrimination minorities have faced in this country. We believe it would require more than $500 billion dollars to address these issues but we cannot give an accurate estimate because these solutions would require concentrated time and effort from everyone over a course of several years. If presented with the option, we would allocate more funds to the structural part because of the amount of time it will take to solve the structural racism built into our society today ."
9/23/2021 11:56:15,B2-3,"I would start my solution by bringing about an education system where an emphasis is put on teaching students about the beginnings of racism and the many negative consequences  that followed afterwards for people of color and minority groups. This would show kids at a young age the impacts of their words and actions, and slowly mold society into a less racist environment. This education can lead to other ideas like projects and social events where people create ways to root out racism.","In my opinion, it’s more of an civic problem than a technological problem. People have their own mindset and some promote racism. The solution that I have is changing what people think by convincing people through articles, news, speech, anything. By changing what people think, society will be friendlier toward other races. Algorithms will be changed to approve other races. And it can potentially establish laws that specifically reduce racism from state laws, technology, anything that promotes racism","I believe that we should first equally distribute school funding. I believe that schools should have their funds from the taxpayers, but certain schools should as well receive extra help in the form of sufficient and constant funds. This will help to raise kids that make better decisions, are more prepared to go into college, and succeed in life. If education quality rises there will be healthy competition allowing more bright minds to change the country for the better. After time those schools will raise generations of people that weren’t at such a disadvantage and will accumulate sufficient amounts of money to keep the education on a good level without any extra funding.","A solution with a technological analysis would be to have more issues shown across social media and news more often. For example, with the death of George Floyd, his death was shown across all of social media so everyone knew about the situation. But that does not happen to everyone that falls victim to racial bias. Almost everyone, especially kids of younger age, use social media. So if we show these issues on these social media platforms, the kids that are using them can see what actually happens and learn so they do not grow up with a racial bias. Potential challenges would be getting these social media companies to actually comply and spread the word of racial bias to their users. But I feel like it would happen like a domino effect, once one company starts doing it then more will join in.",10000000000,30000000000,35000000000,25000000000,"Yes, 100 billion may be enough for the next 5-7 years to come, but in the future, we will probably need more funds.
"
9/23/2021 12:00:46,B2-4,"People have already begun to recognize the fact that American society has been historically unequal and discriminatory, however the steps to change have not TRULY been effective enough yet. It will take a long time for racist ideas to stop being passed through generations. However, with activism like the Black Lives Matter movement, people can begin to recognize their flaws and change for the better. Activism helps bring awareness to more and more people, which may in time, lessen the effects of historical racism by discouraging racist ideas in those who have been touched by the movement. I think it's important to recognize who you are in terms of race, but I also think it's important to recognize that being part of a culture does not mean other cultures are inferior. Some cultures seem to have other cultures being inferior as a part of its identity and that's one of the main things we need to target. I feel like that fact needs to be called out more. Some potential challenges include counter-protests or news spinning the situation to something harmful.  These challenges can be overcome by having a designated spokesperson who can speak out against the wrong news and spread the real message behind the protests. Also, having a page where people can post true information about protests allows for the negation of misinformation by the news. Counter-protests will never be fully negated, but spreading activist ideas faster than the counterpart will make ones argument more powerful. ","Many categories in our lives are organised based on racial identities. Changing this can be hard as it is entertained with many important aspects of your lives. We would have to start off with small changes. The first and most important category which racism should be abolished from is education. This is because children should not be disadvantaged because of their colour or where they were born. This can be done by providing everyone, regardless of colour, or race, with schools which have the same facilities and funding. This gives everyone a level ground from which they can build upon. It would mean that growing up in a rich neighbourhood doesn't give you a better school thereby reducing the disadvantage that Black Americans face when going to school. Challenges that may come alone is that some politicians in these more wealthier areas may be against this funding of education due to some racial bias, a way we can counteract this is by increased activism as mentioned above in order to push the idea that equality needs to be reached. ","The way that we may be able to address or change the fact that ""people who made the underlying decisions did so in a racially biased way"" is by educating people about various cultures and the effects of racism as well as promoting diversity and inclusiveness through the use of the education system. The use of the American education system can be used in various ways to address racially biased decisions as children can be educated about diversity and inclusion which helps deviate from more racially biased beliefs. This is one of many things that the education system can do in order to decrease racial bias and racism as a whole. From here, it is all about the implementation and creation of new programs, advertisements, and curriculum which can help us deviate away from a racist world. Challenges that we might face implementing this solution is creating an entirely new curriculum and having schools implement these curriculums. We can solve this by having a mandate which requires schools to implement a program which speaks on the topic of racism and provide funding for research to aid in the development of a curriculum.","People generally like to discredit this idea because they think that it's a very long process and will take a long time, the idea being to start from zero. I know that it's a very difficult process to do that, but there are hundreds and thousands of computer science majors doing a job which doesn't bring out their complete potential. So start by bringing them all together and start collecting the data from afresh too, meaning that the algorithm won't take the past data, but will comprise the data of the coming decade. To ensure that racial decisions are not made, an ""inside"" man will be there in courtrooms to give information when a racial decision is made. I know a decade sounds like a long time(and it is), but compared to the data in the algorithm being racists, it's better to wait a decade. Then create a just algorithm. The challenges faced in this would be to convince the companies to wipe out the old data and to overcome this, we need to convince them that their algorithm is racist and is an active problem that is affecting others. ",10,50,20,20,"100 Billion may not be enough to address the problem mentioned above. The solutions to these problems stretch deep into the roots of society and require more money in order to rip out these roots. This starts with education where a lot of this funding will go. In terms of funding for disadvantaged schools and money in order to create a new curriculum that addresses the effects and importance of equality and racism. Upward of $50 billion may help us gather more and better data to be used in our research for the issues mentioned above.
"
9/23/2021 12:01:55,B2-5,"We think that the way to solve issues of racism on a hisotrical level is to recognize that many institutions of power in this country are peerdominately run by white individuals and there has been little breaks in this pattern in history. While the past can’t be changed, we can influence there to be more diversity in forms of societal power in order to make sure that the variety of perspectives avoids repeating issues and targeting. ","We think that the best way to reform issues of racism on a societal amd structural level is to give more financial support for communities where minority groups of people of color are the primary residents of those communities. We believe that providing more money would help the disparity between these groups and white groups would be recognized as donnating more money into more diverse communities allow for more non-white people to have access to better education and resources, and would allow them to have the same accessibility of resources as white people on a societal level so that wealth is not a facotr that reinforces structural racism by not giving equal accessibility of resources.","As a group, we think that the best way to address the issues about how human decision making reflected racist decission making is to increase the factors in the data set by adding more groups to the data set. We think that adding more groups would add more diversity into the data set and this incorporates that data is not based around targeting only one combination of identifying factors to decide if a person is identified as a criminal. This change would allow for less bias information in future data sets that would prevent minority groups and People of Color from being primarily targeted by ideas that identify people based on a single common factor (such as skin tone).","The solution we have to address the technological instances of racism in our structures would be to create a third party group to review the information that is used in the data set and research how the data that the algorithms use is calculated. A primary issue with Predpol’s algorithm was that the proxy variable was just made as an assumption (the number of times a crime has previously been recorded in a specific community) without testing how accurate this variable would lead into accurately calculating the likelihood of crime from occuring based on this variable. We think a review group would help to review data and identify elements where bias is noted in a specific cases and remove cases from the dataset where bias is evident. While this may not remove bias entirely, it makes sure that proxy variables have more research put into them and helps reduce bias in data sets that target and discriminate against certain groups.",20,35,25,25,"We think that 100 billion would be a good amount of money in the start to address and try to change issues of racism in these categories as we would begin to take account for what is required there. However, we believe that in the long run we would need to spend more money in these categories because changing these categories to have solutions that are more inclusive to other groups would lead to more individuals using these more accessible resources. Hence, you have the issue of capitalism in the changes were you always need more money overtime to address the increasing needs of more people becoming involved in these programs. Ultimately, the solution of how much additional money is tricky because it is proportional to the percentage increase in each category. If a group is increasing by 25%, then  you want to add at least 25% of the original total funding added to the new group of the old amount of funding along with the additional expenses needed. We don’t have a specific group to allocate most of our additional funding in because they would all require more money gradually over time. However, if we had to choose, we would use most of our funding on the Structural/society group issues because funding there would be the most effective in addressing the other categories as a result of the structural solution thriving. "
